78,沉默的羔羊,8.9,659298人评价,安东尼·霍普金斯的顶级表演。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
79,低俗小说,8.9,645785人评价,故事的高级讲法。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
80,禁闭岛,8.8,732367人评价,昔日翩翩少年，今日大腹便便。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
81,蝴蝶效应,8.8,724496人评价,人的命运被自己瞬间的抉择改变。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
82,七宗罪,8.8,756243人评价,警察抓小偷，老鼠玩死猫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
83,心灵捕手,8.9,544395人评价,人生中应该拥有这样的一段豁然开朗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
84,布达佩斯大饭店,8.9,688089人评价,小清新的故事里注入了大历史的情怀。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
85,春光乍泄,8.9,486070人评价,爱情纠缠，男女一致。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
86,摩登时代,9.3,221420人评价,大时代中的人生，小人物的悲喜。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
87,被嫌弃的松子的一生,8.9,575645人评价,以戏谑来戏谑戏谑。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
88,阿凡达,8.7,1022441人评价,绝对意义上的美轮美奂。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
89,哈利·波特与死亡圣器(下),8.9,597753人评价,10年的完美句点。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
90,喜剧之王,8.8,738277人评价,我是一个演员。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
91,剪刀手爱德华,8.7,860603人评价,浪漫忧郁的成人童话。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
92,致命ID,8.8,618242人评价,最不可能的那个人永远是最可能的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
93,勇敢的心,8.9,471987人评价,史诗大片的典范。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
94,加勒比海盗,8.8,682688人评价,约翰尼·德普的独角戏。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
95,杀人回忆,8.9,521668人评价,关于连环杀人悬案的集体回忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg
96,狩猎,9.1,285482人评价,人言可畏。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
97,天使爱美丽,8.7,816502人评价,法式小清新。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
98,请以你的名字呼唤我,8.9,512725人评价,沉醉在电影的情感和视听氛围中无法自拔。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
99,断背山,8.8,572977人评价,每个人心中都有一座断背山。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg
100,7号房的礼物,8.9,416397人评价,《我是山姆》的《美丽人生》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
101,红辣椒,9.0,321847人评价,梦的勾结。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg
102,幽灵公主,8.9,422305人评价,人与自然的战争史诗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg
103,小森林 夏秋篇,9.0,328364人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
104,阳光灿烂的日子,8.8,486859人评价,一场华丽的意淫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
105,第六感,8.9,426500人评价,深入内心的恐怖，出人意料的结局。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
106,重庆森林,8.7,617055人评价,寂寞没有期限。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
107,入殓师,8.9,468517人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1583839859.jpg
108,小森林 冬春篇,9.0,293254人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg
109,唐伯虎点秋香,8.6,807662人评价,华太师是黄霑，吴镇宇四大才子之一。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
110,爱在黎明破晓前,8.8,473105人评价,缘分是个连绵词，最美不过一瞬。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
111,消失的爱人,8.7,698513人评价,年度最佳date movie。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
112,一一,9.0,276360人评价,我们都曾经是一一。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
113,蝙蝠侠：黑暗骑士崛起,8.8,558249人评价,诺兰就是保证。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
114,超脱,8.9,367643人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
115,菊次郎的夏天,8.8,436443人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
116,侧耳倾听,8.9,358139人评价,少女情怀总是诗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
117,倩女幽魂,8.7,568244人评价,两张绝世的脸。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg
118,无人知晓,9.1,220555人评价,我的平常生活就是他人的幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
119,超能陆战队,8.7,778486人评价,Balalala~~~,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg
120,功夫,8.6,768256人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
121,甜蜜蜜,8.8,404452人评价,相逢只要一瞬间，等待却像是一辈子。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
122,萤火之森,8.9,394628人评价,触不到的恋人。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
123,借东西的小人阿莉埃蒂,8.8,423772人评价,曾经的那段美好会沉淀为一辈子的记忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
124,玛丽和马克思,8.9,352368人评价,你是我最好的朋友，你是我唯一的朋友 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg
125,人生果实,9.5,119235人评价,土壤没有落叶不会肥沃，没有了你就不算人生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg
126,驯龙高手,8.7,595661人评价,和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
127,爱在日落黄昏时,8.8,396812人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
128,告白,8.7,564272人评价,没有一人完全善，也没有一人完全恶。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
129,幸福终点站,8.8,423961人评价,有时候幸福需要等一等。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg
130,大鱼,8.8,451826人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
131,完美的世界,9.1,209561人评价,坏人的好总是比好人的好来得更感人。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
132,阳光姐妹淘,8.8,486984人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
133,射雕英雄传之东成西就,8.7,506906人评价,百看不厌。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg
134,恐怖直播,8.8,501007人评价,恐怖分子的“秋菊打官司”。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
135,哈利·波特与阿兹卡班的囚徒,8.8,466193人评价,不一样的导演，不一样的哈利·波特。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg
136,天书奇谭,9.2,173814人评价,传奇的年代，醉人的童话。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
137,怪兽电力公司,8.7,506396人评价,不要给它起名字，起了名字就有感情了。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
138,神偷奶爸,8.6,761024人评价,Mr. I Don't Care其实也有Care的时候。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
139,玩具总动员3,8.8,391961人评价,跨度十五年的欢乐与泪水。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
140,傲慢与偏见,8.6,601730人评价,爱是摈弃傲慢与偏见之后的曙光。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
141,时空恋旅人,8.8,441362人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
142,教父3,8.9,271583人评价,任何信念的力量，都无法改变命运。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
143,血战钢锯岭,8.7,626936人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
144,釜山行,8.5,903104人评价,揭露人性的丧尸题材力作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
145,哈利·波特与密室,8.7,488636人评价,魔法的密室之门已打开...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
146,哪吒闹海,9.1,194275人评价,想你时你在闹海。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg
147,被解救的姜戈,8.7,470642人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg
148,风之谷,8.9,296329人评价,动画片的圣经。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
149,喜宴,8.9,263200人评价,中国家庭的喜怒哀乐忍。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg
